SKU,Nombre,Marca,Precio,Precio Lista,Stock
104142935,Detergente Ropa C/Oxi Clean 5.91 L,ARM & HAMMER,0,0,0
103977277,Quitamanchas Desodorante Y Sudor Dr. Beckmann Pack 2 Unidades 250 Ml,DR BECKMANN,0,0,0
103737584,Suavizante Aroma Flores De Algodon,ECOMAXX,0,0,0
104170917,Suavizante 2000Cc Fullerpinto,FULLER PINTO,0,0,0
124305695,Pack x3 Detergente en polvo FAB blanco impecable 4kg,FAB,135750,136650,10000
3763399,Limpiador NEW ANDIN multiusos biodegradables con varsol (2000  ml),NEW ANDIN,28900,34600,10000
3045313,Limpiapisos AROMAX DUO lavanda (2000  ml),AROMAX DUO,21150,21150,10000
102612843,Quitamanchas Bye Bye Manchas 250 Ml,DROPS,0,0,0
103634984,Secador De Zapatos Eléctrico Pequeño Calentador De Botas Viajero Blanco Dshj S 190D B,GENERICO,0,0,0
103416156,Secador De Zapatos Eléctrico Portátil Evita Malos Olores,GENERICO,0,0,0
669000,Desengrasante BELLA LUZ varsol limpiador (810  ml),BELLA LUZ,21500,21500,10000
779714,Cera BUFALO limpiadora multiusos (700  ml),BUFALO,18500,20650,10000
3002593,Blanqueador T/L/D TODOS LOS DIAS Desinfectante Aroma Floral (3800  ml),T/L/D TODOS LOS DIAS,10100,10100,10000
3720859,Pastilla limpiadora TASK para sanitario (1  UNIDAD),TASK,6560,6560,10000
103740944,Mini Lavadora Automatica Electrica Portatil Plegable,GENERICO,0,0,0
321021,Limpiador ALASKA multiusos (250  ml),ALASKA,14150,14150,10000
3015226,Limpiador ETERNA pisos ecológico fragancia lavanda (2000  ml),ETERNA,17100,17100,10000
104602372,Cesta Para La Ropa Sucia Moderno 3 Espacios,CLEAR,0,0,0
3537572,Limpiapisos PINOLINA floral (5000  ml),PINOLINA,28550,28550,10000
3364308,Blanqueador PATOJITO de limón desinfectante (1800  ml),PATOJITO,6740,6740,10000
162548,CERA EXITO MARCA PROPIA  (700  ml),EXITO MARCA PROPIA,14200,14200,10000
25250,Limpiador multiusos EASY OFF quitagrasa (500  ml),EASY OFF,22300,22300,10000
563327,Cera BEISBOL  (1800  ml),BEISBOL,62400,62400,10000
3798480,Antisarro KH7 recambio (500  ml),KH-7,35050,35050,10000
3798479,Antisarro KH7 atomizador (750  ml),KH-7,17550,17550,10000
3775090,Absorbente de humedad HUMIDEX humedad closets bolsa de colga (2  UNIDAD),HUMIDEX,30650,30650,10000
3728641,Detergente ETERNA quita manchas (5500  ml),ETERNA,58300,58300,10000
3565079,Desengrasante BELLA LUZ biodegradable aroma (800  ml),BELLA LUZ,21600,22300,10000
3526304,Cera T/L/D TODOS LOS DIAS para pisos escarlata (700  ml),T/L/D TODOS LOS DIAS,16450,16450,10000
3493675,Detergente líquido T/L/D TODOS LOS DIAS ultra concentrado (330  ml),T/L/D TODOS LOS DIAS,12000,12000,10000
3492134,Detergente ESPECIAL LIQUIDO BLANCO LAVANDA (1000  ml),ESPECIAL,8900,10300,10000
3460820,Detergente líquido TIDE Pure clean 48 lavadas (2210  ml),TIDE,104000,117600,10000
3325599,Absorbente de humedad HUMIDEX cojines con aroma manzana canela (150  gr),HUMIDEX,21750,21750,10000
3304063,Detergente líquido CHEER Colorguard 107 lavadas (4555  ml),CHEER,130800,130800,10000
